Country,iso_alpha3,copd_prev_16,lunc_prev_16
Algeria,DZA,3638.36,8.69
Angola,AGO,3011.75,11.71
Benin,BEN,3366.9,9.1
Botswana,BWA,5013.47,12.09
Burkina Faso,BFA,3327.34,7.61
Burundi,BDI,2326.54,6.88
Cameroon,CMR,3459.65,10.68
Cape Verde,CPV,1517.21,11.49
Central African Republic,CAF,3424.01,10.62
Chad,TCD,3788.79,11.2
Comoros,COM,1940.82,8.07
Cote d'Ivoire,CIV,3180.69,6.5
Democratic Republic of the Congo,COD,3222.16,8.27
Djibouti,DJI,1804.74,9.72
Egypt,EGY,4296.54,7.38
Equatorial Guinea,GNQ,2431.87,10.95
Eritrea,ERI,2102.29,8.93
Ethiopia,ETH,1807.12,7.89
Gabon,GAB,2311.22,13.43
The Gambia,GMB,3234.15,7.65
Ghana,GHA,3641.46,6.99
Guinea,GIN,3505.33,9.57
Guinea-Bissau,GNB,3413.91,10.3
Kenya,KEN,2091.01,6
Lesotho,LSO,6780.78,16.33
Liberia,LBR,2874.46,7.31
Libya,LBY,3574.29,21.36
Madagascar,MDG,2785.96,6.85
Malawi,MWI,2508.93,5.46
Mali,MLI,4095.08,6.77
Mauritania,MRT,2817.66,9.43
Mauritius,MUS,2327.91,11.7
Morocco,MAR,4053.69,13.94
Mozambique,MOZ,2347.1,9.41
Namibia,NAM,5150.39,7.14
Niger,NER,3433.07,7.38
Nigeria,NGA,3203.39,7.97
Republic of Congo,COG,2820.2,12.15
Rwanda,RWA,2324.01,6.87
Senegal,SEN,3054.81,10.85
Seychelles,SYC,2548.32,15.11
Sierra Leone,SLE,3484.09,9.3
Somalia,SOM,2220.31,7.61
South Africa,ZAF,5013.62,17.3
South Sudan,SSD,2576.22,9.66
Sudan,SDN,3343.04,7.99
Swaziland,SWZ,4903.29,15.77
Tanzania,TZA,2047.48,6.89
Togo,TGO,3137.07,8.77
Tunisia,TUN,3335.27,17.84
Uganda,UGA,2255.62,6.36
Zambia,ZMB,2353.09,7.86
Zimbabwe,ZWE,5380.94,10.65
