Year,Afghanistan,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Congo,Cote d'Ivoire,Democratic Republic of the Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Malawi,Mali,Mauritania,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Swaziland,Tanzania,The Gambia,Togo,Tunisia,Uganda,Zambia,Zimbabwe,Afghanistan
1990,65,37,36,40,25,46,41,75,53,66,47,26,43,41,75,51,47,36,43,36,25,31,29,31,17,45,26,42,50,30,23,29,91,72,46,41,21,32,26,46,51,19,30,35,38,36,48,33,23,65
1995,65,36,36,38,25,45,40,73,53,69,43,25,43,41,72,52,46,36,43,35,24,30,29,32,17,47,26,41,48,30,23,27,89,69,44,42,20,30,26,45,52,18,29,35,38,36,48,31,23,65
2000,65,38,36,40,25,45,41,71,52,66,44,25,45,41,73,52,46,36,43,35,24,30,28,31,17,46,26,40,49,31,23,27,88,68,43,41,21,31,27,44,49,19,29,35,38,36,46,31,23,65
2005,65,36,35,34,25,39,40,63,53,58,43,22,42,39,74,46,47,34,40,27,22,27,27,30,16,47,26,38,42,31,23,28,73,60,43,36,19,30,26,44,50,18,30,30,31,34,46,29,23,65
2010,65,34,34,32,26,37,38,59,52,57,42,22,41,38,77,46,45,36,40,27,22,27,28,32,15,50,26,36,40,30,24,28,69,53,41,35,19,29,27,43,47,18,29,30,31,36,45,29,23,65
2011,67,34,33,33,25,37,38,58,51,55,44,23,41,40,71,47,45,36,41,28,22,27,29,31,16,45,25,35,40,29,23,27,73,51,43,36,19,31,27,45,51,18,29,29,31,34,47,29,23,67
2012,66,33,33,32,25,39,41,63,53,59,43,22,43,40,73,45,46,36,41,29,23,27,29,31,16,45,26,35,42,28,23,27,73,56,45,36,20,32,27,44,50,18,30,31,31,33,50,30,23,66
2013,61,34,35,31,25,33,40,58,51,53,46,21,44,40,76,44,48,36,41,28,21,27,29,32,15,49,25,32,40,29,23,27,63,50,44,34,18,30,27,43,48,18,29,30,30,36,48,29,23,61
2014,59,36,33,30,24,34,39,57,49,51,46,21,43,41,77,44,44,35,41,26,21,27,29,33,15,48,25,34,43,30,23,26,61,49,42,37,18,30,27,42,48,18,29,31,29,35,47,28,23,59
2015,61,36,33,40,24,47,38,77,58,69,44,28,45,46,88,53,50,39,44,35,27,32,29,31,18,52,25,42,49,31,22,27,87,75,43,44,23,32,26,48,59,18,28,36,38,36,49,28,22,61
2016,56,40,32,38,24,42,39,73,57,65,46,27,45,46,88,55,49,39,44,36,25,30,29,28,18,52,23,38,47,33,21,26,88,71,43,39,21,32,25,45,54,17,28,33,37,38,52,27,22,56
2017,57,39,32,39,23,43,39,73,57,66,47,26,45,46,87,53,48,39,44,35,26,30,29,28,18,54,24,39,47,33,21,25,94,72,43,41,22,32,25,46,55,17,29,34,36,38,50,27,22,57
